id,name,title,birthdate,sex,sire_id,dam_id
142390,Olantigh Black Diamond,ENG CH,,Male,144177,145312
142391,Coralie Magic Token,,,Male,145864,145273
142392,Fiord's Jubilee,FIN CH,1991,Male,145745,147884
142393,Ormareon Orinda Of Spellbound,,,Female,146723,146006
142394,Stormerbanks Manfred,ICH,,Male,145677,232219
142395,Pengavin Peach Melba,FIN CH,1980,Female,146862,232772
142396,Fedina's Koh-i-noor,,1991,Female,148136,147889
142397,Wakefield Majical Gus,CH.,1989,Male,148559,151743
142398,Optima Moravia Mefistofeles,,1985,Female,148148,148021
142399,Otreks Sweet Liberty,AM CH,,Female,148117,146014
142403,Natural Partisan,INT/NORDIC CH,1981,Male,145842,146784
142404,Jonloran Cherry Red Of Twinan,,,Female,147556,149432
142405,Twinan Devil's Heartbeat,,,Female,144245,142404
142406,Pendrell Excalibur,UK CH,,Male,147924,145732
142407,Martindale Dn'tn Leroy Brown,AKC CH,,Male,145218,148558
142408,M-candol D'luscious,AKC CH.,1987,Female,145124,179200
142409,M Candol's I'm A Show Stopper,AKC CH.,,Male,142407,142408
142410,Hideaways High-tech Fashion,AKC CH,,Male,166774,231319
142411,Oakbar California Dreamer,CH ROM,1986,Female,146064,163479
142412,Foreverinbluejeans,,2007,Male,147464,148112
142413,Vonshore's Alamo Joe,AKC CH.,,Male,148143,146496
142414,Willowbends Carly,,,Female,146435,145228
142415,Willowbends Trip To The Moon,,,Male,146369,145334
142416,Bartleys Tiffany Tyler,,,Male,147723,147185
142417,Lakeview's Amber's Song,,,Female,146476,145232
142418,Foxmeadows Addie Of Kaleef,,,Female,,
142419,Bechtolt's Kriste Fox Suzi,,,Female,145234,148131
142420,Raymardene Marchioness Of Ormareon,,,Female,149489,159684
142421,Jomaro Winrod Juno,,1963,Female,142666,145519
142422,Olantigh Kay Of Nilgreen,,,Female,151366,151376
142423,Serenity's Desert Rose,,,Female,146168,145239
142424,Tamera's Nevadian,INT CH ROM,2004,Female,146342,142423
142426,Schaferhaus Anastasia,,,Female,165551,179069
142427,Schaferhaus Foxy Girl,AKC CH,1989,Female,145547,142426
